state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",14-11-2025 21:00,22.624758,75.675238,CO,26,100,51
Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",14-11-2025 21:00,23.331731,75.045981,PM2.5,31,122,70
Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",14-11-2025 21:00,24.58434363,80.8549414,PM2.5,45,47,46
Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",14-11-2025 21:00,24.58434363,80.8549414,CO,21,98,34
Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",14-11-2025 21:00,21.001264,75.565602,NH3,2,3,3
Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",14-11-2025 21:00,21.001264,75.565602,CO,24,80,37
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",14-11-2025 21:00,19.854616,75.905894,PM2.5,49,83,65
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",14-11-2025 21:00,19.854616,75.905894,PM10,76,119,99
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",14-11-2025 21:00,19.854616,75.905894,CO,14,31,16
Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",14-11-2025 21:00,19.25292,73.142019,NO2,36,36,36
Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",14-11-2025 21:00,19.9629,79.298714,CO,11,38,24
Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-11-2025 21:00,19.9775302,79.2337086,NH3,NA,NA,NA
Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-11-2025 21:00,19.9775302,79.2337086,SO2,NA,NA,NA
Maharashtra,Dhule,"Deopur, Dhule - MPCB",14-11-2025 21:00,20.918946,74.776388,NH3,1,12,2
Maharashtra,Dhule,"Deopur, Dhule - MPCB",14-11-2025 21:00,20.918946,74.776388,SO2,7,17,11
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",14-11-2025 21:00,23.50016,80.23284,OZONE,7,143,70
Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",14-11-2025 21:00,19.10078,72.87462,NH3,1,1,1
Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",14-11-2025 21:00,18.91,72.82,NH3,3,3,3
Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",14-11-2025 21:00,18.91,72.82,OZONE,11,11,11
Maharashtra,Mumbai,"Deonar, Mumbai - IITM",14-11-2025 21:00,19.04946,72.923,SO2,4,13,8
Maharashtra,Mumbai,"Deonar, Mumbai - IITM",14-11-2025 21:00,19.04946,72.923,OZONE,1,54,38
Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-11-2025 21:00,19.083694,72.920967,PM2.5,11,193,115
Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-11-2025 21:00,19.083694,72.920967,PM10,NA,NA,NA
Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-11-2025 21:00,19.083694,72.920967,SO2,3,23,7
Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-11-2025 21:00,19.2058,72.8682,PM2.5,64,434,136
Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-11-2025 21:00,19.2058,72.8682,NO2,6,12,8
Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",14-11-2025 21:00,20.0073285,73.7762427,OZONE,9,13,11
Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",14-11-2025 21:00,20.021503,73.813844,PM2.5,91,209,141
Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",14-11-2025 21:00,20.021503,73.813844,NH3,1,11,2
Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",14-11-2025 21:00,20.021503,73.813844,SO2,1,46,11
Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-11-2025 21:00,19.95022,73.73148,NO2,NA,NA,NA
Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-11-2025 21:00,19.95022,73.73148,NH3,NA,NA,NA
Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-11-2025 21:00,19.95022,73.73148,OZONE,31,82,58
Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",14-11-2025 21:00,19.090337,73.014232,PM10,44,141,75
Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",14-11-2025 21:00,19.090337,73.014232,NH3,2,11,5
Maharashtra,Mumbai,"Sion, Mumbai - MPCB",14-11-2025 21:00,19.047,72.8746,OZONE,6,13,9
Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",14-11-2025 21:00,19.3832,72.8204,PM10,60,140,96
Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",14-11-2025 21:00,19.10861,72.83622,CO,24,26,25
Maharashtra,Mumbai,"Worli, Mumbai - MPCB",14-11-2025 21:00,18.9936162,72.8128113,NH3,1,2,1
Maharashtra,Mumbai,"Worli, Mumbai - MPCB",14-11-2025 21:00,18.9936162,72.8128113,SO2,17,25,20
Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",14-11-2025 21:00,21.121801,79.04952,NH3,3,15,6
Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",14-11-2025 21:00,21.121801,79.04952,OZONE,2,117,75
Maharashtra,Mumbai,"Powai, Mumbai - MPCB",14-11-2025 21:00,19.1375,72.915056,SO2,25,29,28
Maharashtra,Mumbai,"Powai, Mumbai - MPCB",14-11-2025 21:00,19.1375,72.915056,OZONE,9,9,9
Maharashtra,Mumbai,"Sewri, Mumbai - BMC",14-11-2025 21:00,19.000084,72.85673,PM10,59,117,93
Maharashtra,Mumbai,"Sewri, Mumbai - BMC",14-11-2025 21:00,19.000084,72.85673,NO2,1,15,2
Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",14-11-2025 21:00,19.060498,72.923356,SO2,11,23,16
Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",14-11-2025 21:00,19.000083,72.813993,NH3,3,7,5
Maharashtra,Mumbai,"Sion, Mumbai - MPCB",14-11-2025 21:00,19.047,72.8746,PM2.5,43,425,215
Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",14-11-2025 21:00,19.215859,72.831718,PM2.5,75,170,108
Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",14-11-2025 21:00,19.0632143,72.8456324,NO2,3,66,41
Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",14-11-2025 21:00,19.0632143,72.8456324,CO,18,58,26
Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",14-11-2025 21:00,19.1653323,72.922099,CO,28,48,40
Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",14-11-2025 21:00,19.0863,72.8888,PM10,91,141,110
Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",14-11-2025 21:00,19.0863,72.8888,SO2,36,37,37
Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",14-11-2025 21:00,21.14472,79.107595,PM10,90,206,134
Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",14-11-2025 21:00,21.14472,79.107595,CO,36,143,62
Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",14-11-2025 21:00,21.152875,79.0517531,NH3,1,5,2
Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",14-11-2025 21:00,21.152875,79.0517531,CO,18,118,49
Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",14-11-2025 21:00,21.143383,79.048912,PM10,121,173,137
Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",14-11-2025 21:00,19.265594,76.761463,PM2.5,78,320,189
Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",14-11-2025 21:00,19.265594,76.761463,PM10,102,181,142
Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",14-11-2025 21:00,18.63673,73.82487,PM10,115,293,162
Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",14-11-2025 21:00,18.614767,73.799516,PM2.5,51,298,189
Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",14-11-2025 21:00,19.1135051,73.008978,OZONE,8,12,10
Maharashtra,Navi Mumbai,"Nerul, Navi Mumbai - MPCB",14-11-2025 21:00,19.008751,73.01662,PM2.5,90,307,197
Maharashtra,Navi Mumbai,"Nerul, Navi Mumbai - MPCB",14-11-2025 21:00,19.008751,73.01662,SO2,20,20,20
Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",14-11-2025 21:00,19.02579,73.10297,NH3,6,30,15
Maharashtra,Mumbai,"Malad West, Mumbai - IITM",14-11-2025 21:00,19.19709,72.82204,NO2,32,121,79
Maharashtra,Mumbai,"Malad West, Mumbai - IITM",14-11-2025 21:00,19.19709,72.82204,OZONE,3,209,154
Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",14-11-2025 21:00,18.96702,72.84214,NO2,22,147,91
Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",14-11-2025 21:00,18.96702,72.84214,NH3,10,19,15
Odisha,Angul,"Hakimapada, Angul - OSPCB",14-11-2025 21:00,20.832874,85.104082,SO2,7,82,22
Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",14-11-2025 21:00,21.51161,86.89088,CO,8,65,60
Odisha,Barbil,"Forest Office, Barbil - OSPCB",14-11-2025 21:00,22.1166054,85.3945546,PM10,76,201,126
